stage,stage_group,dataset,alpha,num_clients,seed,method,round,train_loss,test_accuracy,CR,CA,DI,N_eff,cos_delta_corrected_vs_base,rel_delta_change,corrected_delta_norm,base_delta_norm,graph_density,mean_degree,max_degree,min_degree,connected_components,positive_edge_count,negative_edge_count,signed_edge_ratio,graph_source,graph_mode,graph_preset,operator_type,lambda,clip_threshold,cap_threshold,client_contribution_weights,max_contribution,contribution_entropy,top1_client_id_by_contribution,top3_contribution_mass,status,result_path
stage1,stage1_main,fashionmnist,0.1,20,42,fedavg,11,0.27240748696568967,0.7215,0.4473684210526316,0.6277148128996637,0.1637598192808154,11.234214080185174,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,update,dense,none,,0.05,nan,nan,"[0.00435,0.008233333333333334,0.07656666666666667,0.07896666666666667,0.007233333333333333,0.10628333333333333,0.007683333333333334,0.015533333333333333,0.10366666666666667,0.06193333333333333,0.03743333333333333,0.12471666666666667,0.012183333333333332,0.06956666666666667,0.0066166666666666665,0.04903333333333333,0.10068333333333333,0.02263333333333333,0.0574,0.04928333333333333]",nan,nan,,nan,RUN,D:\jongseol\experiments_current\pathology_graph_case_study\result_general_fedavg_seed42_case_stage1_fedavg_dfashionmnist_a0p1_n20_r20_s42_opna.json
stage1,stage1_main,fashionmnist,0.1,20,42,fedavg,12,0.25324508510993826,0.7529,0.4789473684210526,0.6569358612846182,0.16322017377175585,10.86476930242364,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,update,dense,none,,0.05,nan,nan,"[0.00435,0.008233333333333334,0.07656666666666667,0.07896666666666667,0.007233333333333333,0.10628333333333333,0.007683333333333334,0.015533333333333333,0.10366666666666667,0.06193333333333333,0.03743333333333333,0.12471666666666667,0.012183333333333332,0.06956666666666667,0.0066166666666666665,0.04903333333333333,0.10068333333333333,0.02263333333333333,0.0574,0.04928333333333333]",nan,nan,,nan,RUN,D:\jongseol\experiments_current\pathology_graph_case_study\result_general_fedavg_seed42_case_stage1_fedavg_dfashionmnist_a0p1_n20_r20_s42_opna.json
stage1,stage1_main,fashionmnist,0.1,20,42,fedavg,13,0.25075200751468973,0.7432,0.46842105263157896,0.6528855657091643,0.1710107885037759,11.1580810383759,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,update,dense,none,,0.05,nan,nan,"[0.00435,0.008233333333333334,0.07656666666666667,0.07896666666666667,0.007233333333333333,0.10628333333333333,0.007683333333333334,0.015533333333333333,0.10366666666666667,0.06193333333333333,0.03743333333333333,0.12471666666666667,0.012183333333333332,0.06956666666666667,0.0066166666666666665,0.04903333333333333,0.10068333333333333,0.02263333333333333,0.0574,0.04928333333333333]",nan,nan,,nan,RUN,D:\jongseol\experiments_current\pathology_graph_case_study\result_general_fedavg_seed42_case_stage1_fedavg_dfashionmnist_a0p1_n20_r20_s42_opna.json
stage1,stage1_main,fashionmnist,0.1,20,42,fedavg,14,0.23573436247216542,0.7634,0.5105263157894737,0.6739811229488459,0.15900466198366478,10.951639149327633,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,update,dense,none,,0.05,nan,nan,"[0.00435,0.008233333333333334,0.07656666666666667,0.07896666666666667,0.007233333333333333,0.10628333333333333,0.007683333333333334,0.015533333333333333,0.10366666666666667,0.06193333333333333,0.03743333333333333,0.12471666666666667,0.012183333333333332,0.06956666666666667,0.0066166666666666665,0.04903333333333333,0.10068333333333333,0.02263333333333333,0.0574,0.04928333333333333]",nan,nan,,nan,RUN,D:\jongseol\experiments_current\pathology_graph_case_study\result_general_fedavg_seed42_case_stage1_fedavg_dfashionmnist_a0p1_n20_r20_s42_opna.json
stage1,stage1_main,fashionmnist,0.1,20,42,fedavg,15,0.2349279867504658,0.7577,0.47368421052631576,0.6794540823736692,0.17585475377366144,11.083248774645314,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,update,dense,none,,0.05,nan,nan,"[0.00435,0.008233333333333334,0.07656666666666667,0.07896666666666667,0.007233333333333333,0.10628333333333333,0.007683333333333334,0.015533333333333333,0.10366666666666667,0.06193333333333333,0.03743333333333333,0.12471666666666667,0.012183333333333332,0.06956666666666667,0.0066166666666666665,0.04903333333333333,0.10068333333333333,0.02263333333333333,0.0574,0.04928333333333333]",nan,nan,,nan,RUN,D:\jongseol\experiments_current\pathology_graph_case_study\result_general_fedavg_seed42_case_stage1_fedavg_dfashionmnist_a0p1_n20_r20_s42_opna.json
stage1,stage1_main,fashionmnist,0.1,20,42,fedavg,16,0.22227763945212803,0.7755,0.5526315789473685,0.7023696908220174,0.152594470930672,11.142049861697052,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,update,dense,none,,0.05,nan,nan,"[0.00435,0.008233333333333334,0.07656666666666667,0.07896666666666667,0.007233333333333333,0.10628333333333333,0.007683333333333334,0.015533333333333333,0.10366666666666667,0.06193333333333333,0.03743333333333333,0.12471666666666667,0.012183333333333332,0.06956666666666667,0.0066166666666666665,0.04903333333333333,0.10068333333333333,0.02263333333333333,0.0574,0.04928333333333333]",nan,nan,,nan,RUN,D:\jongseol\experiments_current\pathology_graph_case_study\result_general_fedavg_seed42_case_stage1_fedavg_dfashionmnist_a0p1_n20_r20_s42_opna.json
stage1,stage1_main,fashionmnist,0.1,20,42,fedavg,17,0.22304503576525928,0.7781,0.5210526315789473,0.7115029460862183,0.1761040684899102,11.147392896886219,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,update,dense,none,,0.05,nan,nan,"[0.00435,0.008233333333333334,0.07656666666666667,0.07896666666666667,0.007233333333333333,0.10628333333333333,0.007683333333333334,0.015533333333333333,0.10366666666666667,0.06193333333333333,0.03743333333333333,0.12471666666666667,0.012183333333333332,0.06956666666666667,0.0066166666666666665,0.04903333333333333,0.10068333333333333,0.02263333333333333,0.0574,0.04928333333333333]",nan,nan,,nan,RUN,D:\jongseol\experiments_current\pathology_graph_case_study\result_general_fedavg_seed42_case_stage1_fedavg_dfashionmnist_a0p1_n20_r20_s42_opna.json
stage1,stage1_main,fashionmnist,0.1,20,42,fedavg,18,0.21216878732827077,0.7842,0.5631578947368421,0.7319709856108069,0.14449928100080936,11.22387853728739,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,update,dense,none,,0.05,nan,nan,"[0.00435,0.008233333333333334,0.07656666666666667,0.07896666666666667,0.007233333333333333,0.10628333333333333,0.007683333333333334,0.015533333333333333,0.10366666666666667,0.06193333333333333,0.03743333333333333,0.12471666666666667,0.012183333333333332,0.06956666666666667,0.0066166666666666665,0.04903333333333333,0.10068333333333333,0.02263333333333333,0.0574,0.04928333333333333]",nan,nan,,nan,RUN,D:\jongseol\experiments_current\pathology_graph_case_study\result_general_fedavg_seed42_case_stage1_fedavg_dfashionmnist_a0p1_n20_r20_s42_opna.json
stage1,stage1_main,fashionmnist,0.1,20,42,fedavg,19,0.2158683697182838,0.8006,0.5105263157894737,0.738107395841094,0.1772922392670487,11.18986179107121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,update,dense,none,,0.05,nan,nan,"[0.00435,0.008233333333333334,0.07656666666666667,0.07896666666666667,0.007233333333333333,0.10628333333333333,0.007683333333333334,0.015533333333333333,0.10366666666666667,0.06193333333333333,0.03743333333333333,0.12471666666666667,0.012183333333333332,0.06956666666666667,0.0066166666666666665,0.04903333333333333,0.10068333333333333,0.02263333333333333,0.0574,0.04928333333333333]",nan,nan,,nan,RUN,D:\jongseol\experiments_current\pathology_graph_case_study\result_general_fedavg_seed42_case_stage1_fedavg_dfashionmnist_a0p1_n20_r20_s42_opna.json
stage1,stage1_main,fashionmnist,0.1,20,42,fedavg,20,0.2035195718459116,0.7891,0.5736842105263158,0.7508547056670671,0.14304186530670826,11.3397131831072,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,update,dense,none,,0.05,nan,nan,"[0.00435,0.008233333333333334,0.07656666666666667,0.07896666666666667,0.007233333333333333,0.10628333333333333,0.007683333333333334,0.015533333333333333,0.10366666666666667,0.06193333333333333,0.03743333333333333,0.12471666666666667,0.012183333333333332,0.06956666666666667,0.0066166666666666665,0.04903333333333333,0.10068333333333333,0.02263333333333333,0.0574,0.04928333333333333]",nan,nan,,nan,RUN,D:\jongseol\experiments_current\pathology_graph_case_study\result_general_fedavg_seed42_case_stage1_fedavg_dfashionmnist_a0p1_n20_r20_s42_opna.json
stage1,stage1_main,fashionmnist,0.1,20,42,fedavgm,1,1.2673162268786942,0.3639,0.18947368421052632,0.44800258991163655,0.16663746752952682,10.305687040348792,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,update,dense,none,,0.05,nan,nan,"[0.00435,0.008233333333333334,0.07656666666666667,0.07896666666666667,0.007233333333333333,0.10628333333333333,0.007683333333333334,0.015533333333333333,0.10366666666666667,0.06193333333333333,0.03743333333333333,0.12471666666666667,0.012183333333333332,0.06956666666666667,0.0066166666666666665,0.04903333333333333,0.10068333333333333,0.02263333333333333,0.0574,0.04928333333333333]",nan,nan,,nan,RUN,D:\jongseol\experiments_current\pathology_graph_case_study\result_general_fedavgm_seed42_case_stage1_fedavgm_dfashionmnist_a0p1_n20_r20_s42_opna.json
stage1,stage1_main,fashionmnist,0.1,20,42,fedavgm,2,0.6409045488724525,0.6057,0.2789473684210526,0.49077326487978623,0.15700476452628293,10.805382129844832,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,update,dense,none,,0.05,nan,nan,"[0.00435,0.008233333333333334,0.07656666666666667,0.07896666666666667,0.007233333333333333,0.10628333333333333,0.007683333333333334,0.015533333333333333,0.10366666666666667,0.06193333333333333,0.03743333333333333,0.12471666666666667,0.012183333333333332,0.06956666666666667,0.0066166666666666665,0.04903333333333333,0.10068333333333333,0.02263333333333333,0.0574,0.04928333333333333]",nan,nan,,nan,RUN,D:\jongseol\experiments_current\pathology_graph_case_study\result_general_fedavgm_seed42_case_stage1_fedavgm_dfashionmnist_a0p1_n20_r20_s42_opna.json
stage1,stage1_main,fashionmnist,0.1,20,42,fedavgm,3,0.4449204874501073,0.6981,0.26842105263157895,0.5056580962647241,0.13509686728879716,11.401891120584931,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,update,dense,none,,0.05,nan,nan,"[0.00435,0.008233333333333334,0.07656666666666667,0.07896666666666667,0.007233333333333333,0.10628333333333333,0.007683333333333334,0.015533333333333333,0.10366666666666667,0.06193333333333333,0.03743333333333333,0.12471666666666667,0.012183333333333332,0.06956666666666667,0.0066166666666666665,0.04903333333333333,0.10068333333333333,0.02263333333333333,0.0574,0.04928333333333333]",nan,nan,,nan,RUN,D:\jongseol\experiments_current\pathology_graph_case_study\result_general_fedavgm_seed42_case_stage1_fedavgm_dfashionmnist_a0p1_n20_r20_s42_opna.json
stage1,stage1_main,fashionmnist,0.1,20,42,fedavgm,4,0.3754878058585543,0.6734,0.24736842105263157,0.4247264975290218,0.1636465719425015,11.156134585988907,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,update,dense,none,,0.05,nan,nan,"[0.00435,0.008233333333333334,0.07656666666666667,0.07896666666666667,0.007233333333333333,0.10628333333333333,0.007683333333333334,0.015533333333333333,0.10366666666666667,0.06193333333333333,0.03743333333333333,0.12471666666666667,0.012183333333333332,0.06956666666666667,0.0066166666666666665,0.04903333333333333,0.10068333333333333,0.02263333333333333,0.0574,0.04928333333333333]",nan,nan,,nan,RUN,D:\jongseol\experiments_current\pathology_graph_case_study\result_general_fedavgm_seed42_case_stage1_fedavgm_dfashionmnist_a0p1_n20_r20_s42_opna.json
stage1,stage1_main,fashionmnist,0.1,20,42,fedavgm,5,0.3570129315517748,0.7374,0.32105263157894737,0.5127754876199031,0.13747156151809958,11.585753008414162,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,update,dense,none,,0.05,nan,nan,"[0.00435,0.008233333333333334,0.07656666666666667,0.07896666666666667,0.007233333333333333,0.10628333333333333,0.007683333333333334,0.015533333333333333,0.10366666666666667,0.06193333333333333,0.03743333333333333,0.12471666666666667,0.012183333333333332,0.06956666666666667,0.0066166666666666665,0.04903333333333333,0.10068333333333333,0.02263333333333333,0.0574,0.04928333333333333]",nan,nan,,nan,RUN,D:\jongseol\experiments_current\pathology_graph_case_study\result_general_fedavgm_seed42_case_stage1_fedavgm_dfashionmnist_a0p1_n20_r20_s42_opna.json
stage1,stage1_main,fashionmnist,0.1,20,42,fedavgm,6,0.33410267320120146,0.643,0.3473684210526316,0.5500370256865652,0.14556662159436556,11.575167113453265,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,update,dense,none,,0.05,nan,nan,"[0.00435,0.008233333333333334,0.07656666666666667,0.07896666666666667,0.007233333333333333,0.10628333333333333,0.007683333333333334,0.015533333333333333,0.10366666666666667,0.06193333333333333,0.03743333333333333,0.12471666666666667,0.012183333333333332,0.06956666666666667,0.0066166666666666665,0.04903333333333333,0.10068333333333333,0.02263333333333333,0.0574,0.04928333333333333]",nan,nan,,nan,RUN,D:\jongseol\experiments_current\pathology_graph_case_study\result_general_fedavgm_seed42_case_stage1_fedavgm_dfashionmnist_a0p1_n20_r20_s42_opna.json
stage1,stage1_main,fashionmnist,0.1,20,42,fedavgm,7,0.3115504159271597,0.7058,0.29473684210526313,0.5313216547791311,0.1472929575806901,11.322080644496943,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,update,dense,none,,0.05,nan,nan,"[0.00435,0.008233333333333334,0.07656666666666667,0.07896666666666667,0.007233333333333333,0.10628333333333333,0.007683333333333334,0.015533333333333333,0.10366666666666667,0.06193333333333333,0.03743333333333333,0.12471666666666667,0.012183333333333332,0.06956666666666667,0.0066166666666666665,0.04903333333333333,0.10068333333333333,0.02263333333333333,0.0574,0.04928333333333333]",nan,nan,,nan,RUN,D:\jongseol\experiments_current\pathology_graph_case_study\result_general_fedavgm_seed42_case_stage1_fedavgm_dfashionmnist_a0p1_n20_r20_s42_opna.json
stage1,stage1_main,fashionmnist,0.1,20,42,fedavgm,8,0.27089997476610284,0.7394,0.39473684210526316,0.5705154079041075,0.15581204698052392,11.235116119190415,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,update,dense,none,,0.05,nan,nan,"[0.00435,0.008233333333333334,0.07656666666666667,0.07896666666666667,0.007233333333333333,0.10628333333333333,0.007683333333333334,0.015533333333333333,0.10366666666666667,0.06193333333333333,0.03743333333333333,0.12471666666666667,0.012183333333333332,0.06956666666666667,0.0066166666666666665,0.04903333333333333,0.10068333333333333,0.02263333333333333,0.0574,0.04928333333333333]",nan,nan,,nan,RUN,D:\jongseol\experiments_current\pathology_graph_case_study\result_general_fedavgm_seed42_case_stage1_fedavgm_dfashionmnist_a0p1_n20_r20_s42_opna.json
stage1,stage1_main,fashionmnist,0.1,20,42,fedavgm,9,0.24696631025683408,0.7629,0.4473684210526316,0.5885024638454341,0.16637153455404433,10.9947800249563,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,update,dense,none,,0.05,nan,nan,"[0.00435,0.008233333333333334,0.07656666666666667,0.07896666666666667,0.007233333333333333,0.10628333333333333,0.007683333333333334,0.015533333333333333,0.10366666666666667,0.06193333333333333,0.03743333333333333,0.12471666666666667,0.012183333333333332,0.06956666666666667,0.0066166666666666665,0.04903333333333333,0.10068333333333333,0.02263333333333333,0.0574,0.04928333333333333]",nan,nan,,nan,RUN,D:\jongseol\experiments_current\pathology_graph_case_study\result_general_fedavgm_seed42_case_stage1_fedavgm_dfashionmnist_a0p1_n20_r20_s42_opna.json
stage1,stage1_main,fashionmnist,0.1,20,42,fedavgm,10,0.23385462637604415,0.7613,0.46842105263157896,0.6296735594416785,0.16591379203896284,10.88050610529462,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,update,dense,none,,0.05,nan,nan,"[0.00435,0.008233333333333334,0.07656666666666667,0.07896666666666667,0.007233333333333333,0.10628333333333333,0.007683333333333334,0.015533333333333333,0.10366666666666667,0.06193333333333333,0.03743333333333333,0.12471666666666667,0.012183333333333332,0.06956666666666667,0.0066166666666666665,0.04903333333333333,0.10068333333333333,0.02263333333333333,0.0574,0.04928333333333333]",nan,nan,,nan,RUN,D:\jongseol\experiments_current\pathology_graph_case_study\result_general_fedavgm_seed42_case_stage1_fedavgm_dfashionmnist_a0p1_n20_r20_s42_opna.json
stage1,stage1_main,fashionmnist,0.1,20,42,fedavgm,11,0.2270754965740311,0.809,0.47368421052631576,0.626542150142053,0.14712885305393927,11.044448615676025,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,update,dense,none,,0.05,nan,nan,"[0.00435,0.008233333333333334,0.07656666666666667,0.07896666666666667,0.007233333333333333,0.10628333333333333,0.007683333333333334,0.015533333333333333,0.10366666666666667,0.06193333333333333,0.03743333333333333,0.12471666666666667,0.012183333333333332,0.06956666666666667,0.0066166666666666665,0.04903333333333333,0.10068333333333333,0.02263333333333333,0.0574,0.04928333333333333]",nan,nan,,nan,RUN,D:\jongseol\experiments_current\pathology_graph_case_study\result_general_fedavgm_seed42_case_stage1_fedavgm_dfashionmnist_a0p1_n20_r20_s42_opna.json
stage1,stage1_main,fashionmnist,0.1,20,42,fedavgm,12,0.2176826528497462,0.8168,0.531578947368421,0.6917466516169327,0.1470271833814464,11.452079899054652,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,update,dense,none,,0.05,nan,nan,"[0.00435,0.008233333333333334,0.07656666666666667,0.07896666666666667,0.007233333333333333,0.10628333333333333,0.007683333333333334,0.015533333333333333,0.10366666666666667,0.06193333333333333,0.03743333333333333,0.12471666666666667,0.012183333333333332,0.06956666666666667,0.0066166666666666665,0.04903333333333333,0.10068333333333333,0.02263333333333333,0.0574,0.04928333333333333]",nan,nan,,nan,RUN,D:\jongseol\experiments_current\pathology_graph_case_study\result_general_fedavgm_seed42_case_stage1_fedavgm_dfashionmnist_a0p1_n20_r20_s42_opna.json
stage1,stage1_main,fashionmnist,0.1,20,42,fedavgm,13,0.21853165977957234,0.8043,0.4842105263157895,0.6857829864694185,0.15521906900877455,11.488784735069036,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,update,dense,none,,0.05,nan,nan,"[0.00435,0.008233333333333334,0.07656666666666667,0.07896666666666667,0.007233333333333333,0.10628333333333333,0.007683333333333334,0.015533333333333333,0.10366666666666667,0.06193333333333333,0.03743333333333333,0.12471666666666667,0.012183333333333332,0.06956666666666667,0.0066166666666666665,0.04903333333333333,0.10068333333333333,0.02263333333333333,0.0574,0.04928333333333333]",nan,nan,,nan,RUN,D:\jongseol\experiments_current\pathology_graph_case_study\result_general_fedavgm_seed42_case_stage1_fedavgm_dfashionmnist_a0p1_n20_r20_s42_opna.json
