stage,stage_group,dataset,alpha,num_clients,seed,method,round,train_loss,test_accuracy,CR,CA,DI,N_eff,cos_delta_corrected_vs_base,rel_delta_change,corrected_delta_norm,base_delta_norm,graph_density,mean_degree,max_degree,min_degree,connected_components,positive_edge_count,negative_edge_count,signed_edge_ratio,graph_source,graph_mode,graph_preset,operator_type,lambda,clip_threshold,cap_threshold,client_contribution_weights,max_contribution,contribution_entropy,top1_client_id_by_contribution,top3_contribution_mass,status,result_path
stage1,stage1_main,fashionmnist,0.1,20,42,fedavg,1,1.2673162268786942,0.3639,0.18947368421052632,0.44800258991163655,0.16663746752952682,10.305687040348792,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,update,dense,none,,0.05,nan,nan,"[0.00435,0.008233333333333334,0.07656666666666667,0.07896666666666667,0.007233333333333333,0.10628333333333333,0.007683333333333334,0.015533333333333333,0.10366666666666667,0.06193333333333333,0.03743333333333333,0.12471666666666667,0.012183333333333332,0.06956666666666667,0.0066166666666666665,0.04903333333333333,0.10068333333333333,0.02263333333333333,0.0574,0.04928333333333333]",nan,nan,,nan,RUN,D:\jongseol\experiments_current\pathology_graph_case_study\result_general_fedavg_seed42_case_stage1_fedavg_dfashionmnist_a0p1_n20_r20_s42_opna.json
stage1,stage1_main,fashionmnist,0.1,20,42,fedavg,2,0.6409032147988695,0.6406,0.2789473684210526,0.4907849528907332,0.1570037586819425,10.805335052746265,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,update,dense,none,,0.05,nan,nan,"[0.00435,0.008233333333333334,0.07656666666666667,0.07896666666666667,0.007233333333333333,0.10628333333333333,0.007683333333333334,0.015533333333333333,0.10366666666666667,0.06193333333333333,0.03743333333333333,0.12471666666666667,0.012183333333333332,0.06956666666666667,0.0066166666666666665,0.04903333333333333,0.10068333333333333,0.02263333333333333,0.0574,0.04928333333333333]",nan,nan,,nan,RUN,D:\jongseol\experiments_current\pathology_graph_case_study\result_general_fedavg_seed42_case_stage1_fedavg_dfashionmnist_a0p1_n20_r20_s42_opna.json
stage1,stage1_main,fashionmnist,0.1,20,42,fedavg,3,0.4707000510180085,0.566,0.4105263157894737,0.548541600423945,0.15027887301128326,10.94435097855287,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,update,dense,none,,0.05,nan,nan,"[0.00435,0.008233333333333334,0.07656666666666667,0.07896666666666667,0.007233333333333333,0.10628333333333333,0.007683333333333334,0.015533333333333333,0.10366666666666667,0.06193333333333333,0.03743333333333333,0.12471666666666667,0.012183333333333332,0.06956666666666667,0.0066166666666666665,0.04903333333333333,0.10068333333333333,0.02263333333333333,0.0574,0.04928333333333333]",nan,nan,,nan,RUN,D:\jongseol\experiments_current\pathology_graph_case_study\result_general_fedavg_seed42_case_stage1_fedavg_dfashionmnist_a0p1_n20_r20_s42_opna.json
stage1,stage1_main,fashionmnist,0.1,20,42,fedavg,4,0.41649918151416543,0.7043,0.39473684210526316,0.578818116054157,0.16202199456996622,10.667110266433319,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,update,dense,none,,0.05,nan,nan,"[0.00435,0.008233333333333334,0.07656666666666667,0.07896666666666667,0.007233333333333333,0.10628333333333333,0.007683333333333334,0.015533333333333333,0.10366666666666667,0.06193333333333333,0.03743333333333333,0.12471666666666667,0.012183333333333332,0.06956666666666667,0.0066166666666666665,0.04903333333333333,0.10068333333333333,0.02263333333333333,0.0574,0.04928333333333333]",nan,nan,,nan,RUN,D:\jongseol\experiments_current\pathology_graph_case_study\result_general_fedavg_seed42_case_stage1_fedavg_dfashionmnist_a0p1_n20_r20_s42_opna.json
stage1,stage1_main,fashionmnist,0.1,20,42,fedavg,5,0.3591558632664217,0.6365,0.43157894736842106,0.5889617413603777,0.1452689080108591,11.103436695752624,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,update,dense,none,,0.05,nan,nan,"[0.00435,0.008233333333333334,0.07656666666666667,0.07896666666666667,0.007233333333333333,0.10628333333333333,0.007683333333333334,0.015533333333333333,0.10366666666666667,0.06193333333333333,0.03743333333333333,0.12471666666666667,0.012183333333333332,0.06956666666666667,0.0066166666666666665,0.04903333333333333,0.10068333333333333,0.02263333333333333,0.0574,0.04928333333333333]",nan,nan,,nan,RUN,D:\jongseol\experiments_current\pathology_graph_case_study\result_general_fedavg_seed42_case_stage1_fedavg_dfashionmnist_a0p1_n20_r20_s42_opna.json
stage1,stage1_main,fashionmnist,0.1,20,42,fedavg,6,0.3468423030543808,0.7074,0.43157894736842106,0.6052109067969909,0.1550230899957688,10.723310009872522,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,update,dense,none,,0.05,nan,nan,"[0.00435,0.008233333333333334,0.07656666666666667,0.07896666666666667,0.007233333333333333,0.10628333333333333,0.007683333333333334,0.015533333333333333,0.10366666666666667,0.06193333333333333,0.03743333333333333,0.12471666666666667,0.012183333333333332,0.06956666666666667,0.0066166666666666665,0.04903333333333333,0.10068333333333333,0.02263333333333333,0.0574,0.04928333333333333]",nan,nan,,nan,RUN,D:\jongseol\experiments_current\pathology_graph_case_study\result_general_fedavg_seed42_case_stage1_fedavg_dfashionmnist_a0p1_n20_r20_s42_opna.json
stage1,stage1_main,fashionmnist,0.1,20,42,fedavg,7,0.3292466157408987,0.6455,0.4263157894736842,0.5991703042757758,0.14813456750373946,11.291360803753557,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,update,dense,none,,0.05,nan,nan,"[0.00435,0.008233333333333334,0.07656666666666667,0.07896666666666667,0.007233333333333333,0.10628333333333333,0.007683333333333334,0.015533333333333333,0.10366666666666667,0.06193333333333333,0.03743333333333333,0.12471666666666667,0.012183333333333332,0.06956666666666667,0.0066166666666666665,0.04903333333333333,0.10068333333333333,0.02263333333333333,0.0574,0.04928333333333333]",nan,nan,,nan,RUN,D:\jongseol\experiments_current\pathology_graph_case_study\result_general_fedavg_seed42_case_stage1_fedavg_dfashionmnist_a0p1_n20_r20_s42_opna.json
stage1,stage1_main,fashionmnist,0.1,20,42,fedavg,8,0.30994011912470393,0.7121,0.4421052631578947,0.6257794435463611,0.14942812921858784,10.93670288136153,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,update,dense,none,,0.05,nan,nan,"[0.00435,0.008233333333333334,0.07656666666666667,0.07896666666666667,0.007233333333333333,0.10628333333333333,0.007683333333333334,0.015533333333333333,0.10366666666666667,0.06193333333333333,0.03743333333333333,0.12471666666666667,0.012183333333333332,0.06956666666666667,0.0066166666666666665,0.04903333333333333,0.10068333333333333,0.02263333333333333,0.0574,0.04928333333333333]",nan,nan,,nan,RUN,D:\jongseol\experiments_current\pathology_graph_case_study\result_general_fedavg_seed42_case_stage1_fedavg_dfashionmnist_a0p1_n20_r20_s42_opna.json
stage1,stage1_main,fashionmnist,0.1,20,42,fedavg,9,0.3029211936617373,0.6801,0.42105263157894735,0.6132994382584569,0.15649147948054767,11.278345611804442,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,update,dense,none,,0.05,nan,nan,"[0.00435,0.008233333333333334,0.07656666666666667,0.07896666666666667,0.007233333333333333,0.10628333333333333,0.007683333333333334,0.015533333333333333,0.10366666666666667,0.06193333333333333,0.03743333333333333,0.12471666666666667,0.012183333333333332,0.06956666666666667,0.0066166666666666665,0.04903333333333333,0.10068333333333333,0.02263333333333333,0.0574,0.04928333333333333]",nan,nan,,nan,RUN,D:\jongseol\experiments_current\pathology_graph_case_study\result_general_fedavg_seed42_case_stage1_fedavg_dfashionmnist_a0p1_n20_r20_s42_opna.json
stage1,stage1_main,fashionmnist,0.1,20,42,fedavg,10,0.27811426198046113,0.7362,0.4421052631578947,0.6309729926936248,0.15801034312368145,10.876745677799752,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,update,dense,none,,0.05,nan,nan,"[0.00435,0.008233333333333334,0.07656666666666667,0.07896666666666667,0.007233333333333333,0.10628333333333333,0.007683333333333334,0.015533333333333333,0.10366666666666667,0.06193333333333333,0.03743333333333333,0.12471666666666667,0.012183333333333332,0.06956666666666667,0.0066166666666666665,0.04903333333333333,0.10068333333333333,0.02263333333333333,0.0574,0.04928333333333333]",nan,nan,,nan,RUN,D:\jongseol\experiments_current\pathology_graph_case_study\result_general_fedavg_seed42_case_stage1_fedavg_dfashionmnist_a0p1_n20_r20_s42_opna.json
